# The fifteen largest metropolitan areas in 2025 (canon: united-states-of-arabia, Population).
# growth: how steeply a city rose with the country (0.7 old cities that were already large,
# 1.4 boom towns). Earlier populations are extrapolated from the national curve: inferred.
name,state,lon,lat,pop2025,growth
Jeddah,Hejaz,39.17,21.54,14120000,1.1
Riyadh,Najd,46.72,24.69,12440000,1.35
Baghdad,Mesopotamia,44.37,33.31,11180000,0.8
Damascus,Damascus,36.29,33.51,7910000,0.7
Aleppo,Aleppo,37.16,36.2,6340000,0.7
Sanaa,Hodeidah,44.21,15.35,5830000,0.75
Dubai,Magan,55.3,25.27,5410000,1.45
Basra,Mesopotamia,47.78,30.51,4870000,0.85
Dammam-Khobar,Sharqiyah,50.1,26.43,4690000,1.4
Beirut,Lebanon,35.5,33.89,4230000,0.8
Amman,Jordan,35.93,31.95,4010000,1.2
Mosul,Kurdistan,43.13,36.34,3620000,0.85
Kuwait City,Kuwait,47.98,29.37,3340000,1.3
Taiz,Aden,44.02,13.58,3090000,0.8
Umm al-Qura,Federal District,39.83,21.42,3020000,1.0
