# WHO HOLDS WHAT, YEAR BY YEAR.  SEED DATA: a coarse first pass, not canon.
# Rows marked "inferred" fill gaps the encyclopedia leaves open, by analogy with the history
# each region carries. Replace them as canon is written (prompts/PHASE_PROMPTS.md, phase 3).
#
# regions: region ids and/or @groups, space-separated.  polity: an id from polities.csv,
# or - for "nobody" (drawn as bare land).  start/end: inclusive years, negative = BCE.
# LATER ROWS WIN: write the broad stroke first, then the exceptions below it.
regions,polity,start,end,source,note
# ===== Neighbours ====================================================================
@zagros,achaemenid,-500,-461,canon,
@zagros,zagros_pr,-460,1866,canon,highland principalities after the withdrawal
@anatolia,kong,1608,1762,inferred,New France analogue
@anatolia,hind_zagrosia,1763,1866,inferred,
@iran,hind_zagrosia,1670,1866,inferred,Rupert's Land analogue
@zagros,zagrosia,1867,2026,inferred,confederation (Canada analogue)
@masr,achaemenid,-500,-461,canon,
@masr,masr,-460,1520,canon,Masr restored under native kings
@masr,masr_vice,1521,1820,inferred,New Spain analogue
@masr,masr,1821,2026,inferred,independent before its 1829 abolition (canon)
cyprus,qubrus,-500,2026,inferred,
@horn_core @horn_coast,abyssinia,-500,1921,inferred,
eritrea,jolof,1507,1720,canon,Jolofian missions from Massawa to Jizan
@sudan,sudan,-500,1794,inferred,
@sudan,abyssinia,1795,1921,inferred,
@barbaria,barbaria,-500,1792,inferred,
@barbaria,abyssinia,1793,1921,inferred,
@horn_core @horn_coast @sudan @barbaria,derg,1922,1991,canon,Derg Union dissolved 26 December 1991
@horn_core,ethiopia,1992,2026,canon,
eritrea,eritrea_s,1992,2026,canon,Derg successor state
djibouti,djibouti_s,1992,2026,canon,Derg successor state
@sudan,sudan,1992,2026,canon,
@barbaria,barbaria,1992,2026,canon,
@azer @caucasus,caucasian_pr,-500,2026,inferred,
@azer @caucasus,rashidun,645,660,canon,caliphates reach the Caucasus
@azer @caucasus,umayyad,661,749,canon,
@azer @caucasus,abbasid,750,1000,inferred,
kartli armenia,jolof,1600,1897,inferred,Spanish Caribbean analogue
@azer,abyssinia,1799,1866,inferred,Russian America analogue
@azer,ter_adharbaijan,1867,1958,canon,bought from the Abyssinian Empire for 7.2 million riyals
@azer,st_adharbaijan,1959,2026,canon,admitted 3 January 1959
kartli,prot_kartli,1898,1901,inferred,Gulf War with Jolof brings the Caucasus protectorates (canon)
kartli,kartli_s,1902,2026,inferred,
armenia,prot_caucasus,1898,1946,inferred,
armenia,armenia_s,1947,2026,inferred,
comoros,qumur_sultanates,-500,1897,canon,
# Afghanistan carries Siberia's history (user direction, README): the eastern hinterland of the
# Abyssinian Empire from 1582, of the Derg Union, and of Ethiopia after 1991.
afghan,abyssinia,1582,1921,canon,Afghanistan = Siberia
afghan,derg,1922,1991,canon,
afghan,ethiopia,1992,2026,canon,
comoros,ter_qumur,1898,1958,canon,annexed 1898
comoros,st_qumur,1959,2026,canon,admitted 21 August 1959
# ===== Before the divergence (to 460 BCE) ============================================
@levant @jazira @kurd @meso,achaemenid,-500,-461,canon,
saada najran,main,-500,-120,canon,incense kingdom
sanaa marib hudaydah taiz aden,saba,-500,274,canon,incense kingdom
abyan,qataban,-500,-51,canon,incense kingdom
shabwa seiyun mukalla mahra dhofar,hadhramawt_k,-500,299,canon,incense kingdom
ula,lihyan,-500,-381,canon,Dedan
tabuk,tayma,-500,-381,canon,Tayma
jawf,duma,-500,-346,canon,Duma
bahrain qatif,dilmun,-500,-189,canon,
ahsa jubail,gerrha,-500,-189,canon,
@oman,magan_k,-500,629,inferred,
# ===== Antiquity and the Nabataean unification (c. 440 BCE - 610) ====================
latakia tartus beirut bekaa galilee quds gaza,levant_cities,-460,635,inferred,
aleppo idlib hama homs,aram,-460,635,inferred,
damascus hawran,damascus_c,-460,-313,canon,
@kurd,zagros_pr,-460,635,inferred,
tikrit baghdad diyala karbala kut nasiriyah basra,babylon,-460,635,canon,Babylon becomes a temple-city
