# Points drawn on the map while they matter. kind: capital (square), city (dot),
# fort (triangle), district (star), battle (crossed swords are left to the edit: a dot here).
# side: which side of the dot the label goes (left or right).
name,lon,lat,kind,start,end,side,source
Petra,35.44,30.33,capital,-440,35,right,nabataean-unification
Hegra,37.88,26.79,capital,-380,35,right,nabataean-unification
Hajr,46.72,24.63,city,-262,-200,right,nabataean-unification (Covenant of the Wells)
Babylon,44.42,32.54,city,-460,635,right,timeline
Ma'rib,45.33,15.46,capital,-500,274,right,
Madinah,39.61,24.47,capital,622,660,right,
Damascus,36.29,33.51,capital,661,749,right,Umayyad capital
Baghdad,44.37,33.31,capital,750,1257,right,
Makkah,39.83,21.42,city,1258,1790,right,Sharifate
Basra,47.78,30.51,city,700,2026,right,
Jeddah,39.17,21.54,city,1607,2026,left,
Aden,45.03,12.79,city,1498,2026,right,
Muscat,58.41,23.59,fort,1507,1810,right,Kaabu factory
Socotra (Hadibu),54.02,12.65,fort,1507,1810,right,Kaabu factory
Hormuz,56.46,27.08,fort,1507,1810,right,Kaabu factory
Massawa,39.45,15.61,fort,1507,1720,left,Jolofian mission
Deir ez-Zor,40.14,35.33,fort,1570,1762,right,Kong post
Magan Town,55.3,25.27,city,1626,2026,right,
Riyadh,46.72,24.69,city,1732,1860,right,
Riyadh,46.72,24.69,city,1865,2026,right,
Aleppo,37.16,36.2,city,1663,2026,right,
Beirut,35.5,33.89,city,1636,2026,left,
Zafar,44.4,14.21,battle,1781,1783,right,Chatterjee surrenders 1781
Umm al-Qura,39.83,21.42,district,1791,2026,right,federal capital
Riyadh (ISA capital),46.72,24.69,capital,1861,1864,right,history
Wadi Hanifa,46.6,24.75,battle,1865,1865,left,surrender of 9 April 1865
Baku,49.87,40.41,city,1867,2026,right,
Moroni,43.26,-11.7,city,1898,2026,right,
Dammam No. 7,50.1,26.3,city,1938,1950,right,oil struck 1938
Alamut test site,50.0,20.0,battle,1945,1945,right,Alamut Project
