# Every polity that holds a region at some point.
# parent: a state or colony rolls up to its union or empire on the map. Children with no
#         colour of their own take the parent's; the map draws thin lines between siblings
#         and the thick frontier around the parent, and labels the parent large.
# kind:   union, state, territory, protectorate, colony, empire, kingdom, city, league,
#         caliphate, imamate, confederation, republic, company. territory and protectorate
#         are drawn lighter than their parent; confederation is drawn hatched.
# source: canon = stated in the encyclopedia (page named); inferred = placeholder filled by
#         analogy with the history the region carries. Every inferred row is open to canon.
polity_id,name,name_ar,short,color,parent,kind,analogue,source,notes
usa,United States of Arabia,الولايات المتحدة العربية,UNITED STATES OF ARABIA,#5d8ec4,,union,United States,canon: united-states-of-arabia,
st_jordan,Jordan,الأردن,Jordan,,usa,state,Delaware,canon,
st_palestine,Palestine,فلسطين,Palestine,,usa,state,Pennsylvania,canon,
st_asir,Asir,عسير,Asir,,usa,state,New Jersey,canon,
st_hadhramout,Hadhramout,حضرموت,Hadhramout,,usa,state,Georgia,canon,
st_lebanon,Lebanon,لبنان,Lebanon,,usa,state,Connecticut,canon,
st_phoenicia,Phoenicia,فينيقيا,Phoenicia,,usa,state,Massachusetts,canon,
st_aden,Aden,عدن,Aden,,usa,state,Maryland,canon,
st_hodeidah,Hodeidah,الحديدة,Hodeidah,,usa,state,South Carolina,canon,
st_damascus,Damascus,دمشق,Damascus,,usa,state,New Hampshire,canon,
st_hejaz,Hejaz,الحجاز,Hejaz,,usa,state,Virginia,canon,
st_najd,Najd,نجد,Najd,,usa,state,New York,canon,
st_aleppo,Aleppo,حلب,Aleppo,,usa,state,North Carolina,canon,
st_tihamah,Tihamah,تهامة,Tihamah,,usa,state,Rhode Island,canon,
st_kuwait,Kuwait,الكويت,Kuwait,,usa,state,Louisiana,canon,
st_mesopotamia,Mesopotamia,بلاد الرافدين,Mesopotamia,,usa,state,Illinois,canon,
st_euphrates,Euphrates,الفرات,Euphrates,,usa,state,Missouri,canon,
st_magan,Magan,مجان,Magan,,usa,state,Florida,canon,
st_sharqiyah,Sharqiyah,الشرقية,Sharqiyah,,usa,state,Texas,canon,
st_oman,Oman,عمان,Oman,,usa,state,California,canon,
st_shammar,Shammar,شمر,Shammar,,usa,state,Kansas,canon,
st_kurdistan,Kurdistan,كردستان,Kurdistan,,usa,state,the Dakotas and Montana,canon,
st_socotra,Socotra,سقطرى,Socotra,,usa,state,Arizona and New Mexico,canon,
st_adharbaijan,Adharbaijan,أذربيجان,Adharbaijan,,usa,state,Alaska,canon,
st_qumur,Qumur,القمر,Qumur,,usa,state,Hawaii,canon,
ter_west,Western Territory,الإقليم الغربي,Western Territory,,usa,territory,Northwest Territory,inferred,lands west of the Euphrates won at Zafar in 1783
ter_mesopotamia,Mesopotamia Territory,إقليم الرافدين,Mesopotamia Territory,,usa,territory,Louisiana Purchase lands,inferred,Kuwait Purchase of 1803 (canon); territorial name inferred
ter_euphrates,Euphrates Territory,إقليم الفرات,Euphrates Territory,,usa,territory,Missouri Territory,inferred,
ter_kurdistan,Kurdistan Territory,إقليم كردستان,Kurdistan Territory,,usa,territory,Dakota Territory,inferred,
ter_magan,Magan Territory,إقليم مجان,Magan Territory,,usa,territory,Florida Territory,canon: history (Treaty of Sohar 1821),
ter_oman,Oman Territory,إقليم عمان,Oman Territory,,usa,territory,California before statehood,inferred,ceded by Masr 1848 (canon)
ter_socotra,Socotra Territory,إقليم سقطرى,Socotra Territory,,usa,territory,New Mexico Territory,inferred,ceded by Masr 1848 (canon)
ter_shammar,Shammar Territory,إقليم شمر,Shammar Territory,,usa,territory,Kansas Territory,canon: history (Shammar-Jawf Act 1854),
ter_adharbaijan,District of Adharbaijan,إقليم أذربيجان,Adharbaijan,,usa,territory,Alaska,canon: purchased 1867,
ter_qumur,Territory of Qumur,إقليم القمر,Qumur,,usa,territory,Hawaii,canon: annexed 1898,
