# Regions: the building blocks every border is made of. Each grows from its seed point over
# the cell mesh (see cgvideo/mesh.py) and stops more readily at rivers and custom lines.
# A region should be the smallest piece that ever changes hands on its own. To split one,
# add a row with a new seed; to move a frontier precisely, draw data/overrides.geojson.
# weight > 1 lets a region grow further before its neighbours claim the ground.
# modern_state is the state of the Union (or the neighbour) holding it in 2026: a reading aid.
region_id,name,lon,lat,weight,modern_state,notes
latakia,Latakia coast,35.85,35.55,1,Phoenicia,
tartus,Tartus and the Homs Gap,35.95,34.85,1,Phoenicia,
idlib,Idlib,36.55,35.85,1,Aleppo,
aleppo,Aleppo,37.3,36.25,1,Aleppo,
hama,Hama,36.95,35.2,1,Aleppo,
homs,Homs,37.1,34.45,1,Damascus,assignment inferred
palmyra,Palmyra (Tadmur),38.6,34.6,1.2,Damascus,assignment inferred
beirut,Mount Lebanon,35.6,33.95,0.8,Lebanon,
bekaa,Bekaa,36.1,33.95,0.7,Lebanon,
damascus,Damascus Ghouta,36.45,33.5,1,Damascus,
hawran,Hawran,36.35,32.7,1,Damascus,
galilee,Galilee and Haifa,35.25,32.8,0.8,Palestine,
quds,Al-Quds hills,35.2,31.8,0.8,Palestine,
gaza,Gaza coast,34.5,31.4,0.8,Palestine,
negev,Negev,34.85,30.6,1,Palestine,
amman,Amman and the Balqa,35.95,31.95,1,Jordan,
karak,Karak and Petra,35.6,30.75,1,Jordan,Petra: first Nabataean capital
aqaba,Aqaba,35.1,29.65,0.8,Jordan,
azraq,Azraq steppe,37.4,31.5,1.2,Jordan,
raqqa,Raqqa,39.0,35.95,1,Euphrates,
deir,Deir ez-Zor,40.3,35.2,1,Euphrates,
jazira,Jazira (Hasakah),40.9,36.6,1,Euphrates,
sinjar,Sinjar,41.9,36.3,0.9,Kurdistan,
mosul,Mosul (Nineveh),43.15,36.4,1,Kurdistan,
dohuk,Dohuk,43.2,37.0,0.8,Kurdistan,
erbil,Erbil,44.2,36.3,1,Kurdistan,
sulaymaniyah,Sulaymaniyah,45.45,35.6,1,Kurdistan,
