# Heads of state shown in the infobox. start/end inclusive; the new holder takes the handover year.
# portrait: pres-N draws the encyclopedia's own SVG portrait; any other key is drawn procedurally
# unless assets/portraits/<key>.png exists (your own art, e.g. painted in GIMP).
start,end,polity,title,name,party,portrait,note,source
-440,-411,nabataea,King of the Nabataeans,Aretas I,,king-1,,canon: nabataean-unification
-410,-397,nabataea,King of the Nabataeans,Rabbel I,,king-2,,canon: nabataean-unification
-396,-372,nabataea,King of the Nabataeans,Obodas I,,king-3,,canon: nabataean-unification
-371,-353,nabataea,King of the Nabataeans,Aretas II,,king-4,,canon: nabataean-unification
-352,-330,nabataea,King of the Nabataeans,Malichus I,,king-5,,canon: nabataean-unification
-329,-319,nabataea,King of the Nabataeans,Rabbel II,,king-6,,canon: nabataean-unification
-318,-300,nabataea,King of the Nabataeans,Aretas III,,king-7,,canon: nabataean-unification
-299,-279,nabataea,King of the Nabataeans,Aretas IV,,king-8,,canon: nabataean-unification
-278,-271,nabataea,King of the Nabataeans,Obodas II,,king-9,,canon: nabataean-unification
-270,-232,nabataea,King of the Nabataeans,Rabbel III,,king-10,,canon: nabataean-unification
-231,-205,nabataea,King of the Nabataeans,Malichus II,,king-11,,canon: nabataean-unification
-204,-171,nabataea,King of the Nabataeans,Aretas V,,king-12,,canon: nabataean-unification
-170,-142,nabataea,King of the Nabataeans,Obodas III,,king-13,,canon: nabataean-unification
-128,-97,nabataea,King of the Nabataeans,Aretas VI,,king-14,,canon: nabataean-unification
-96,-71,nabataea,King of the Nabataeans,Obodas IV,,king-15,,canon: nabataean-unification
-70,-41,nabataea,King of the Nabataeans,Malichus IV,,king-16,,canon: nabataean-unification
-40,8,nabataea,King of the Nabataeans,Aretas VII,,king-17,,canon: nabataean-unification
9,35,nabataea,King of the Nabataeans,Rabbel V,,king-18,,canon: nabataean-unification
-141,-128,nab_petra,King at Petra,Rabbel IV,,king-rival-p,War of the Two Capitals,canon: nabataean-unification
-141,-128,nab_hegra,King at Hegra,Malichus III,,king-rival-h,War of the Two Capitals,canon: nabataean-unification
1789,1796,usa,1st President,Abd al-Rahman al-Hashimi,Non-partisan,pres-1,Commander of the Continental Army; set the two-term precedent,canon: united-states-of-arabia
1797,1800,usa,2nd President,Yusuf al-Basri,Ittihadi,pres-2,The Quasi-War with Kong; the Aden Acts; first to live in the Presidential House,canon: united-states-of-arabia
1801,1808,usa,3rd President,Tariq ibn Jaffar,Jumhuri,pres-3,Drafted the Declaration; the Kuwait Purchase; founded the university at Damascus,canon: united-states-of-arabia
1809,1816,usa,4th President,Dawud al-Madani,Jumhuri,pres-4,Architect of the Constitution; the War of 1812 against Hindustan,canon: united-states-of-arabia
1817,1824,usa,5th President,Hamza al-Qasimi,Jumhuri,pres-5,The Era of Good Feeling; the Qasimi Doctrine; the Tihamah Compromise,canon: united-states-of-arabia
1825,1828,usa,6th President,Salim ibn Yusuf al-Basri,Jumhuri,pres-6,Son of the second president; internal improvements; elected by the Chamber,canon: united-states-of-arabia
1829,1836,usa,7th President,Rashid al-Utaybi,Sha'bi,pres-7,Tribal removal and the Road of Thirst; destroyed the Second Bank,canon: united-states-of-arabia
1837,1840,usa,8th President,Marwan al-Hilali,Sha'bi,pres-8,The Panic of 1837; the independent treasury,canon: united-states-of-arabia
1841,1841,usa,9th President,Ahmad al-Shammari,Ahd,pres-9,Died of fever thirty-one days into his term; shortest presidency,canon: united-states-of-arabia
1841,1844,usa,10th President,Khalid al-Hijazi,Ahd,pres-10,Established that the vice-president succeeds in full; annexed Sharqiyah,canon: united-states-of-arabia
1845,1848,usa,11th President,Nasir ad-Dini,Sha'bi,pres-11,The Arabian–Masri War; the Gulf littoral; one term by choice,canon: united-states-of-arabia
1849,1849,usa,12th President,Zahir al-Muhaydib,Ahd,pres-12,Career soldier; died in office during the crisis over the territories,canon: united-states-of-arabia
1850,1852,usa,13th President,Hisham al-Karak,Ahd,pres-13,"Signed the Compromise of 1850, including the fugitive servants law",canon: united-states-of-arabia
1853,1856,usa,14th President,Sulayman al-Qurashi,Sha'bi,pres-14,The Hijaz–Jawf Act; bleeding Jawf,canon: united-states-of-arabia
1857,1860,usa,15th President,Idris al-Anbari,Sha'bi,pres-15,Watched eleven states secede and denied the power to stop them,canon: united-states-of-arabia
1861,1864,usa,16th President,Ibrahim al-Naqib,Union,pres-16,Preserved the Union; the Manumission Proclamation; assassinated,canon: united-states-of-arabia
1865,1868,usa,17th President,Talal al-Tihami,Union,pres-17,Obstructed Reconstruction; impeached and acquitted by one vote,canon: united-states-of-arabia
1869,1876,usa,18th President,Musa al-Harbi,Union,pres-18,General-in-chief of the Union armies; enforced Reconstruction; the Gilded scandals,canon: united-states-of-arabia
1877,1880,usa,19th President,Adil al-Mutayri,Union,pres-19,The disputed election; withdrew the garrisons and ended Reconstruction,canon: united-states-of-arabia
1881,1881,usa,20th President,Saud al-Ghamdi,Union,pres-20,Shot four months into his term; his death produced the civil service,canon: united-states-of-arabia
1881,1884,usa,21st President,Wathiq al-Anazi,Union,pres-21,The machine politician who signed civil service reform,canon: united-states-of-arabia
1885,1888,usa,22nd President,Bashir al-Ifranji,Sha'bi,pres-22,Born enslaved; abolitionist orator; first European Arabian president; two non-consecutive terms,canon: united-states-of-arabia
1893,1896,usa,22nd President,Bashir al-Ifranji,Sha'bi,pres-22,Born enslaved; abolitionist orator; first European Arabian president; two non-consecutive terms,canon: united-states-of-arabia
1889,1892,usa,23rd President,Hamad al-Sudayri,Union,pres-23,The billion-riyal Majlis; the first antitrust statute,canon: united-states-of-arabia
1897,1900,usa,24th President,Anwar al-Hasa,Union,pres-24,The Gulf War with Jolof; annexed Qumur; assassinated at Basra,canon: united-states-of-arabia
1901,1908,usa,25th President,Nura bint Salih al-Ghamdi,Progressive,pres-25,Trust-busting; the National Parks Act; first woman to hold the office,canon: united-states-of-arabia
1909,1912,usa,26th President,Fahd al-Juhani,Progressive,pres-26,More trusts broken than his predecessor; split the party and lost,canon: united-states-of-arabia
1913,1920,usa,27th President,Ilyas al-Marwani,Islah,pres-27,First World War; the Fourteen Points; the central bank and the income tax,canon: united-states-of-arabia
